projname,landmark,projcode,statecode,distcode,blkcode,projtype,isgeotagged,loc_geom,last_updated_by_x,last_updated_on_x,id_x,projstatus_x,oldprojcode,proj_seq,cb_type,ru_type,ot_type,recent_sts_id,Unnamed: 19,Unnamed: 20,id_y,photo1,loc_geom1,photo1_time,photo2,loc_geom2,photo2_time,projstatus_y,surveyor_cmnt,obs_date,obs_by,approved,approver_cmnt,approved_by,approved_on,last_updated_by_y,last_updated_on_y,longitude1,latitude1,longitude2,latitude2,accuracy1,accuracy2,surveyor_name,approver_name,ai_review,ai_reasoning,ai_status,time_check
Construction of New 5 bench Judicial court campus at karera District shivpuri,,CHmpSHI741,MP,432,,UC,True,0101000020E61000002DA027D0AD8A5340C3D4F96483773940,smpshivpu,2022-12-07 11:51:46.567322,50,90,CHmpSHI741,9,True,False,False,5786,,,4639,../photos/CHmpSHI741_1625807892_p1.jpeg,0101000020E6100000E9A45247A28A534011BB004576773940,2021-07-09 10:47:25,../photos/CHmpSHI741_1625807892_p2.jpeg,0101000020E6100000E9A45247A28A534011BB004576773940,2021-07-09 10:47:56,40,Roof level,2021-07-09 10:48:03,smpshivpu,True,Roof level in progress,mpshivpu,2021-07-26 00:00:00,mpshivpu,2021-07-26 10:10:11.491567,78.1661547,25.4666484,78.1661547,25.4666484,22.51,22.51,,Mr N S Dhakad,,NaN,,NaN
Construction of New 5 bench Judicial court campus at karera District shivpuri,,CHmpSHI741,MP,432,,UC,True,0101000020E61000002DA027D0AD8A5340C3D4F96483773940,smpshivpu,2022-12-07 11:51:46.567322,50,90,CHmpSHI741,9,True,False,False,5786,,,5695,../photos/CHmpSHI741_1666952708_p1.jpeg,0101000020E610000026CFABF09D8A53407E22AA4B21773940,2022-10-28 15:50:37,../photos/CHmpSHI741_1666952708_p2.jpeg,0101000020E610000014A9D5FC9D8A5340CB2F833122773940,2022-10-28 15:54:52,90,Finishing work in progress,2022-10-28 15:55:13,smpshivpu,True,YES,mpshivpu,2023-12-15 00:00:00,mpshivpu,2023-12-15 10:59:36.729603,78.1658899,25.4653518,78.1658928,25.4653655,34.4,20.14,,VK ARAKH,,NaN,,NaN
C Type Quarters Judicail Campus,,RUmpMOR723,MP,417,,CMP,True,0101000020E6100000404A91216C7E53402EC088C78F823A40,smpmorena,2023-12-21 11:51:26.447952,35,100,RUmpMOR723,4,False,True,False,7099,,,4447,../photos/RUmpMOR723_1623325515_p1.jpeg,0101000020E61000005DD031D66D7E53408F47BAB07F823A40,2021-06-10 17:14:24,../photos/RUmpMOR723_1623325515_p2.jpeg,0101000020E610000003571E496E7E5340C9D23DA18D823A40,2021-06-10 17:15:07,100,QTR has been completed in November 2020,2021-06-10 17:15:12,smpmorena,True,ok,mpmorena,2023-03-14 00:00:00,mpmorena,2023-03-14 15:35:49.525412,77.9754539,26.5097609,77.9754813,26.5099736,3.75,7.96,,vk aarakh,,NaN,,NaN
14r residential unit,,RUupBAG760,UP,124,,CMP,True,0101000020E61000003DDBFEF0CE4D534071CF4E6100FA3C40,supbaghpa,2023-12-15 12:39:45.460898,77,100,RUupBAG760,1,False,True,False,6979,,,1996,../photos/RUupBAG760_1590127738_p1.jpeg,0101000020E61000000AACD2CCC94D5340EF703B342CFA3C40,2020-05-22 11:37:30,../photos/RUupBAG760_1590127738_p2.jpeg,0101000020E61000000AACD2CCC94D5340EF703B342CFA3C40,2020-05-22 11:37:39,70,"Painting work in progress
external development in progress",2020-05-22 11:38:56,supbaghpa,False,,,,supbaghpa,2020-05-22 11:38:58.842871,77.2154419,28.977237,77.2154419,28.977237,14.73,14.73,,,,NaN,,NaN
Construction of Court Complex Building at Jalore,,CHrjJAL601,RJ,104,,CMP,True,0101000020E6100000BACAC97A20285240C73A66EABF583940,srjjalor,2021-08-26 19:05:45.944519,107,100,CHrjJAL601,1,True,False,False,4744,,,4744,../photos/CHrjJAL601_1629984945_p1.jpeg,0101000020E6100000AF9BAD171E2852409B90D61874583940,2021-08-26 19:05:21,../photos/CHrjJAL601_1629984945_p2.jpeg,0101000020E61000009FCFDB332628524061CA1BBB9F583940,2021-08-26 19:05:34,100,Inauguration done by High court judge all courts shift in new building,2021-08-26 19:05:37,srjjalor,True,Ok Court shift in New building,rjjalor,2021-08-26 00:00:00,rjjalor,2021-08-26 21:09:27.359512,72.6268367,25.3455215,72.6273317,25.3461873,24.42,24.33,,,,NaN,,NaN
01 ACJM Courtroom  Devband,Teachers Colony Devband,UP1770001,UP,177,,UC,True,0101000020E61000001949CCFD9F5E5340D13B1570CFFD3D40,supsahara,2022-07-23 14:03:05.187808,2645,40,,1,True,False,False,5426,,,5425,../photos/UP1770001_1658564940_p1.jpeg,0101000020E61000006458C51B996B5340C0A78306ACAE3D40,2022-07-23 13:58:29,../photos/UP1770001_1658564940_p2.jpeg,0101000020E61000006458C51B996B5340C0A78306ACAE3D40,2022-07-23 13:58:39,70,Flooring work to be start,2022-07-23 13:58:57,supsahara,True,Work ni progree,upsahara,2022-07-23 00:00:00,upsahara,2022-07-23 14:07:10.539779,77.68122,29.6823124,77.68122,29.6823124,24.9,24.9,,,,NaN,,NaN
01 ACJM Courtroom  Devband,Teachers Colony Devband,UP1770001,UP,177,,UC,True,0101000020E61000001949CCFD9F5E5340D13B1570CFFD3D40,supsahara,2022-07-23 14:03:05.187808,2645,40,,1,True,False,False,5426,,,5426,../photos/UP1770001_1658565185_p1.jpeg,0101000020E6100000FA2070C9966B53407D11233ABAAE3D40,2022-07-23 14:02:45,../photos/UP1770001_1658565185_p2.jpeg,0101000020E6100000FA2070C9966B53407D11233ABAAE3D40,2022-07-23 14:02:52,40,Column stilt to first floor rcc in progress,2022-07-23 14:03:00,supsahara,True,Work in progress,upsahara,2022-07-23 00:00:00,upsahara,2022-07-23 14:07:25.508442,77.6810783,29.6825291,77.6810783,29.6825291,26.4,26.4,,,,NaN,,NaN
construction of 2 No C type 4 No D type 6 No E type residencial qtr Judges colony at shivpuri,,RUmpSHI737,MP,432,,CMP,True,0101000020E61000007839153E556B5340E59CD843FB783940,smpshivpu,2022-12-07 12:06:50.415391,47,100,RUmpSHI737,6,False,True,False,5788,,,5788,../photos/RUmpSHI737_1670395010_p1.jpeg,0101000020E610000048BF2264456B534082FE428F18793940,2022-12-07 12:06:20,../photos/RUmpSHI737_1670395010_p2.jpeg,0101000020E610000048BF2264456B534082FE428F18793940,2022-12-07 12:06:31,100,Work complete,2022-12-07 12:06:42,smpshivpu,True,OK,mpshivpu,2023-11-29 00:00:00,mpshivpu,2023-11-29 16:27:06.325277,77.6761103,25.473031,77.6761103,25.473031,26.4,26.4,,V K AARAKH,,NaN,,NaN
construtation of civil and judicil magistrate court building at kotra,,CHrjUDA516,RJ,117,Kotra,CMP,True,0101000020E61000002A255F645D4B5240140E187F365D3840,srjudaipu,2024-04-01 17:18:57.94653,92,100,CHrjUDA516,1,True,False,False,7643,,,7643,../photos/CHrjUDA516_1711972137_p1.jpeg,0101000020E61000003E3267C7574B52407CE6F6DC535D3840,2024-04-01 17:18:13,../photos/CHrjUDA516_1711972137_p2.jpeg,0101000020E61000003E3267C7574B52407CE6F6DC535D3840,2024-04-01 17:18:41,100,Completed,2024-04-01 17:18:57,srjudaipu,False,,,,srjudaipu,2024-04-01 17:18:57.94653,73.1772326,24.3645609,73.1772326,24.3645609,28.1,28.1,,,,NaN,,NaN
Court Building Pachpadra,,CBrjBAR388,RJ,90,Pachpadra,CMP,True,0101000020E6100000ED9A90D618105240835F347568D83940,srjbarmer,2020-06-08 14:00:52.291594,114,100,CBrjBAR388,3,True,False,False,2153,,,2153,../photos/CBrjBAR388_1591605052_p1.jpeg,0101000020E6100000ED9A90D618105240835F347568D83940,2020-06-08 14:00:19,../photos/CBrjBAR388_1591605052_p2.jpeg,0101000020E6100000ED9A90D618105240835F347568D83940,2020-06-08 14:00:39,100,Handed over,2020-06-08 14:00:46,srjbarmer,True,Completed and Handed Over,rjbarmer,2024-01-15 00:00:00,rjbarmer,2024-01-15 08:18:15.738901,72.251516,25.8453439,72.251516,25.8453439,27.86,27.86,,Mukesh Joshi,,NaN,,NaN
Construction of Court Building at Aburoad Distt. Sirohi,,CHrjSIR414,RJ,115,,CMP,True,0101000020E6100000D882DE1BC3325240137D3ECA88853840,srjsirohi,2021-02-16 12:07:09.617218,89,100,CHrjSIR414,1,True,False,False,3938,,,3938,../photos/CHrjSIR414_1613457429_p1.jpeg,0101000020E6100000D882DE1BC3325240137D3ECA88853840,2021-02-16 12:05:31,../photos/CHrjSIR414_1613457429_p2.jpeg,0101000020E61000004F745DF8C13252409BB9765897853840,2021-02-16 12:05:45,100,Building completed but not Handed Over,2021-02-16 12:07:02,srjsirohi,True,completed,rjsirohi,2024-03-09 00:00:00,rjsirohi,2024-03-09 19:46:17.369009,72.7931585,24.5216185,72.793089,24.5218406,25.52,61.32,,Ramesh Chand Barada,,NaN,,NaN
CONSTRUCTION OF 40 COURT BUILDING AT RANCHI,,CHjhRAN750,JH,339,,CMP,True,0101000020E610000052EA37B8995455409C8A54185B603740,sjhranchi,2020-08-08 15:02:52.308513,123,100,CHjhRAN750,2,True,False,False,2837,,,2837,../photos/CHjhRAN750_1596879172_p1.jpeg,0101000020E610000052EA37B8995455409C8A54185B603740,2020-08-08 15:02:07,../photos/CHjhRAN750_1596879172_p2.jpeg,0101000020E610000052EA37B8995455409C8A54185B603740,2020-08-08 15:02:25,100,Good,2020-08-08 15:02:48,sjhranchi,True,WORK COMPLETED,jhranchi,2022-06-01 00:00:00,jhranchi,2022-06-01 17:08:24.670525,85.3218823,23.37639,85.3218823,23.37639,16.21,16.21,,JE,,NaN,,NaN
Construction of ten court building complex at City Civil court Phase  I Phase  II Secunderabad,,CHtlHYD800,TS,507,,CMP,True,0101000020E6100000565E978606A05340E968B004AD713140,stshydera,2024-05-03 15:54:30.503961,157,100,CHtlHYD800,1,True,False,False,7978,,,7978,../photos/CHtlHYD800_1714731870_p1.jpeg,0101000020E6100000806DB36705A0534048CD0D3CAD713140,2024-05-03 15:53:43,../photos/CHtlHYD800_1714731870_p2.jpeg,0101000020E6100000806DB36705A0534048CD0D3CAD713140,2024-05-03 15:54:22,100,Work completed and handed over to court in 2019,2024-05-03 15:54:28,stshydera,True,Work completed,tshydera,2024-05-03 00:00:00,tshydera,2024-05-03 16:10:21.579108,78.5003299,17.4440496,78.5003299,17.4440496,10.97,10.97,,,,NaN,,NaN
"Construction of Court Complex Building (Ist Phase)at Bannur Village in Puttur Taluk, D.K District",BANNUR PUTTUR,KA5340006,KA,534,,UC,True,0101000020E610000048E17A14AEC75240EC51B81E85EB2840,skadakshikan,2023-11-15 15:09:36.635599,2021,90,,6,True,False,False,6426,,,6426,../photos/KA5340006_1700041176_p1.jpeg,0101000020E61000008093B76D29CD5240C7968A32C08E2940,2023-11-15 15:04:59,../photos/KA5340006_1700041176_p2.jpeg,0101000020E610000015257C4A29CD52407C3E6FCF988E2940,2023-11-15 15:09:27,90,Court complex External Paint and electrical connection to building work pending,2023-11-15 15:09:33,skadakshikan,True,98 Percent of work completed,kadakshikan,2023-11-23 00:00:00,kadakshikan,2023-11-23 14:49:21.727693,75.2056536,12.7788101,75.2056452,12.7785096,26.6,4.76,,AMRNATHA JAIN H P,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3017,../photos/CG3750072_1598334149_p1.jpeg,0101000020E6100000DEE4B7E864895440F55CF0B3DB1A3640,2020-08-25 11:10:14,../photos/CG3750072_1598334149_p2.jpeg,0101000020E6100000DEE4B7E864895440F55CF0B3DB1A3640,2020-08-25 11:11:27,100,Electrical work F-2,2020-08-25 11:12:05,scgbilasp,True,okay accepted,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:23:50.345042,82.146784,22.1049149,82.146784,22.1049149,20.0,20.0,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3016,../photos/CG3750072_1598333675_p1.jpeg,0101000020E61000006376BB0361895440D01E7931DE1A3640,2020-08-25 10:59:40,../photos/CG3750072_1598333675_p2.jpeg,0101000020E61000009D233CEB648954405A6A1899DB1A3640,2020-08-25 11:01:02,100,Electrical work Bungalow No F-1,2020-08-25 11:04:30,scgbilasp,True,okay accepted,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:23:25.324816,82.1465463,22.1049529,82.1467846,22.1049133,29.38,20.0,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3020,../photos/CG3750072_1598335226_p1.jpeg,0101000020E61000001092054C60895440B66EDE93E21A3640,2020-08-25 11:29:26,../photos/CG3750072_1598335226_p2.jpeg,0101000020E610000041C351A85D89544002A4912AE51A3640,2020-08-25 11:29:46,100,Electrical work F-5 and F-6,2020-08-25 11:29:50,scgbilasp,True,okay accepted,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:24:57.796972,82.1465025,22.1050198,82.1463414,22.1050593,23.21,26.4,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3027,../photos/CG3750072_1598335975_p1.jpeg,0101000020E610000063B25D46568954404668BA8DBC1A3640,2020-08-25 11:41:52,../photos/CG3750072_1598335975_p2.jpeg,0101000020E6100000C0AE264F598954408046E9D2BF1A3640,2020-08-25 11:42:34,100,Electrical work E-2,2020-08-25 11:42:43,scgbilasp,True,okay accepted,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:25:14.301824,82.1458908,22.1044396,82.146076,22.1044895,20.07,26.71,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3023,../photos/CG3750072_1598335563_p1.jpeg,0101000020E610000054D856FD5B8954404A534EC5D71A3640,2020-08-25 11:35:26,../photos/CG3750072_1598335563_p2.jpeg,0101000020E610000054D856FD5B8954404A534EC5D71A3640,2020-08-25 11:35:46,100,Electrical work F-7 and F-8,2020-08-25 11:35:49,scgbilasp,True,okay accepted,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:25:30.748871,82.1462396,22.1048549,82.1462396,22.1048549,24.28,24.28,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3024,../photos/CG3750072_1598335700_p1.jpeg,0101000020E6100000969C6E345B895440D294F837C31A3640,2020-08-25 11:37:51,../photos/CG3750072_1598335700_p2.jpeg,0101000020E6100000969C6E345B895440D294F837C31A3640,2020-08-25 11:38:05,100,Electrical work F-9 and 10,2020-08-25 11:38:09,scgbilasp,True,okay accepted,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:25:53.896867,82.1461917,22.1045413,82.1461917,22.1045413,17.82,17.82,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3026,../photos/CG3750072_1598335864_p1.jpeg,0101000020E6100000161B4EF454895440BE288B0CBC1A3640,2020-08-25 11:40:10,../photos/CG3750072_1598335864_p2.jpeg,0101000020E61000007EFE7BF05A8954402593533BC31A3640,2020-08-25 11:40:48,100,Electrical work E-1,2020-08-25 11:40:52,scgbilasp,True,okay completed,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:26:14.593456,82.1458102,22.1044319,82.1461755,22.1045415,28.24,22.13,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3028,../photos/CG3750072_1598336105_p1.jpeg,0101000020E6100000EF88AF1B5B8954406CE3F49AC31A3640,2020-08-25 11:44:02,../photos/CG3750072_1598336105_p2.jpeg,0101000020E6100000EF88AF1B5B8954406CE3F49AC31A3640,2020-08-25 11:44:50,100,Electrical work E-3,2020-08-25 11:45:00,scgbilasp,True,completed,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:26:33.724704,82.1461858,22.1045472,82.1461858,22.1045472,18.09,18.09,,P N Sai,,NaN,,NaN
